date,fill_mode,alpha_enabled,validation_score_improvement,classification_accuracy,calibrator_slope_ticks,traditional_baseline_net_pnl_hkd,traditional_baseline_maker_fills,directional_kill_switch_net_pnl_hkd,directional_kill_switch_maker_fills,paired_no_signal_ablation_net_pnl_hkd,paired_no_signal_ablation_maker_fills
2026-07-07,through,True,3605.6455734558726,0.5851425564799895,0.8172323717289416,-17508.93573963501,6106,-14472.83192443811,5951,-17508.93573963501,6106
2026-07-07,touch,True,3605.6455734558726,0.5851425564799895,0.8172323717289416,-10516.637949635031,7820,-11326.532866438094,6855,-10516.637949635031,7820
2026-07-09,through,True,456.3761719999893,0.5884079831461374,0.2015380364375058,-22036.97575352741,5361,-21816.703199527416,5367,-22036.97575352741,5361
2026-07-09,touch,True,456.3761719999893,0.5884079831461374,0.2015380364375058,-17267.60716952742,7127,-17414.335445527442,7197,-17267.60716952742,7127
2026-07-15,through,True,688.5097500000229,0.6085416833080385,0.2518367135683732,-7983.482131927026,2937,-8687.240451927017,3077,-7983.482131927026,2937
2026-07-15,touch,True,688.5097500000229,0.6085416833080385,0.2518367135683732,-6641.033985854021,4370,-6671.677113854032,4554,-6641.033985854021,4370
2026-07-20,through,True,3739.9655792023186,0.5989233228683141,0.22724540657039297,-8019.23557494524,2744,-5645.175250835703,3113,-8019.23557494524,2744
2026-07-20,touch,True,3739.9655792023186,0.5989233228683141,0.22724540657039297,-4182.4673867342735,3992,-3081.3317448356975,4109,-4182.4673867342735,3992
2026-07-21,through,True,2113.4013918121173,0.5832247453981909,0.014694269777574199,-3254.48976136715,1667,-2804.894980101425,1139,-3254.48976136715,1667
2026-07-21,touch,True,2113.4013918121173,0.5832247453981909,0.014694269777574199,-2175.3181041014286,2689,-1644.86314410143,1885,-2175.3181041014286,2689
2026-07-23,through,False,-124.57961242954752,0.5901416887737014,0.07576329731494685,-5721.625175600373,1650,-5721.625175600373,1650,-5721.625175600373,1650
2026-07-23,touch,False,-124.57961242954752,0.5901416887737014,0.07576329731494685,-4230.695485600373,2696,-4230.695485600373,2696,-4230.695485600373,2696
2026-07-27,through,True,981.8740399089329,0.5965155280346546,0.1779518607292797,-3544.5598888184386,1557,-4926.3348888184355,1767,-3544.5598888184386,1557
2026-07-27,touch,True,981.8740399089329,0.5965155280346546,0.1779518607292797,-2942.050958818427,2511,-2741.477818545617,2750,-2942.050958818427,2511
2026-07-28,through,True,1852.6188277763722,0.5911575248877611,0.12221738612519455,-207.23668494523668,1687,-2111.0679955780947,1960,-207.23668494523668,1687
2026-07-28,touch,True,1852.6188277763722,0.5911575248877611,0.12221738612519455,362.81184284381516,2928,-272.7728259999817,3050,362.81184284381516,2928
2026-07-29,through,True,392.4825171102308,0.619295314202688,0.1043445705738593,-4443.722968421912,3251,-4276.39010484382,3198,-4443.722968421912,3251
2026-07-29,touch,True,392.4825171102308,0.619295314202688,0.1043445705738593,54.13543154470608,5173,460.7225228357611,5140,54.13543154470608,5173
2026-07-30,through,True,921.4697995382503,0.6138805633708747,0.003860583701151001,-3558.808488981751,2180,-1978.1113640000021,2164,-3233.4564699635066,2252
2026-07-30,touch,True,921.4697995382503,0.6138805633708747,0.003860583701151001,-158.5204899999958,3792,1068.8655410547562,3841,63.7494050182454,3928
