date,fill_mode,alpha_enabled,classification_accuracy,calibrator_slope_ticks,classic_as_net_pnl_hkd,classic_as_maker_fills,as_drift_unit_net_pnl_hkd,as_drift_unit_maker_fills,as_drift_net_pnl_hkd,as_drift_maker_fills,paired_as_no_drift_net_pnl_hkd,paired_as_no_drift_maker_fills,as_drift_kill_switch_net_pnl_hkd,as_drift_kill_switch_maker_fills
2026-07-03,through,True,0.6056882704997698,0.8172323717289416,-361.1924193698387,1909,421.6817266301441,1961,-6261.594983908733,2893,-4858.784375999996,1748,-6261.594983908733,2893
2026-07-03,touch,True,0.6056882704997698,0.8172323717289416,254.72971199998847,2224,1415.0814859999819,2306,-5257.463965908741,3181,-3988.5177259999928,2078,-5257.463965908741,3181
2026-07-06,through,True,0.6046220034049602,0.39704564954447596,-1579.07194599999,1556,-2257.298989999993,1594,-2085.1554359999936,1644,-1579.07194599999,1556,-2085.1554359999936,1644
2026-07-06,touch,True,0.6046220034049602,0.39704564954447596,-453.2821180000001,1854,-999.4996480000009,1930,-754.4598279999964,1972,-453.2821180000001,1854,-754.4598279999964,1972
2026-07-07,through,False,0.587891742576211,0.3499728901312662,9868.102723999993,2060,9661.924749999984,2132,9540.351771999987,2190,9868.102723999993,2060,9868.102723999993,2060
2026-07-07,touch,False,0.587891742576211,0.3499728901312662,11752.712681999988,2532,11408.571797999983,2618,11341.850515999999,2700,11752.712681999988,2532,11752.712681999988,2532
2026-07-08,through,True,0.592984343670749,0.30977669304264005,-1380.6696779999966,2582,-1000.6259660000014,2516,-1000.6259660000014,2516,-1380.6696779999966,2582,-1000.6259660000014,2516
2026-07-08,touch,True,0.592984343670749,0.30977669304264005,824.2759859634953,3371,1294.5693259634863,3295,1294.5693259634863,3295,824.2759859634953,3371,1294.5693259634863,3295
2026-07-09,through,True,0.5894925142422618,0.3516497858540895,-1205.8471820000013,2396,-1029.2190100000016,2364,-1029.2190100000016,2364,-1205.8471820000013,2396,-1029.2190100000016,2364
2026-07-09,touch,True,0.5894925142422618,0.3516497858540895,952.0906099999911,3222,959.8069119999927,3184,959.8069119999927,3184,952.0906099999911,3222,959.8069119999927,3184
2026-07-10,through,False,0.5859935659490225,0.3016702986330525,-1107.2106242136533,1447,-1419.1456322136505,1513,-1419.1456322136505,1513,-1107.2106242136533,1447,-1107.2106242136533,1447
2026-07-10,touch,False,0.5859935659490225,0.3016702986330525,146.00877400000172,2018,-281.37416799999573,2066,-281.37416799999573,2066,146.00877400000172,2018,146.00877400000172,2018
2026-07-14,through,True,0.5939180348945374,0.2569138142480496,1984.7181299999975,2584,2369.616936000001,2506,2635.246373999992,2556,1984.7181299999975,2584,2635.246373999992,2556
2026-07-14,touch,True,0.5939180348945374,0.2569138142480496,4691.639145265701,3499,5163.648495265708,3403,5173.189561265718,3435,4691.639145265701,3499,5173.189561265718,3435
2026-07-15,through,False,0.6165206663649031,0.23208188735133892,474.10626199997205,1814,347.1078739999539,1900,379.9874360000067,1940,147.23191400001542,1934,474.10626199997205,1814
2026-07-15,touch,False,0.6165206663649031,0.23208188735133892,1085.405808072962,2527,957.9670580729962,2683,1713.7078360729774,2727,1248.745704072995,2739,1085.405808072962,2527
2026-07-16,through,True,0.5986520529402918,0.2296706101813789,-3862.3266940000008,2068,-3697.9562480000004,2064,-4759.138462734289,2021,-4764.800428312378,1922,-4759.138462734289,2021
2026-07-16,touch,True,0.5986520529402918,0.2296706101813789,-1534.638668000015,2956,-1515.1669300000176,2950,-1898.0283303123779,2794,-4543.7399147342885,2847,-1898.0283303123779,2794
2026-07-17,through,False,0.6565298192262207,0.1629531579406847,125.20228515888812,889,-353.530205682222,946,-194.74554768222242,936,125.20228515888812,889,125.20228515888812,889
2026-07-17,touch,False,0.6565298192262207,0.1629531579406847,999.153165158888,1195,1109.8265371588889,1301,1033.2474551588887,1269,999.153165158888,1195,999.153165158888,1195
2026-07-20,through,True,0.6009842254280706,0.19936135185789156,-3021.4177904726216,2075,-3436.4773444726175,2183,-3563.7114141014176,2337,-3319.7977469452494,2024,-3563.7114141014176,2337
2026-07-20,touch,True,0.6009842254280706,0.19936135185789156,-885.0998840000002,3052,-1266.611593367138,3173,-1589.0399821014116,3275,-858.0869359999924,3006,-1589.0399821014116,3275
