date,fill_mode,direction_accuracy,direction_macro_f1,drift_slope_ticks,directional_net_pnl_hkd,directional_gross_pnl_hkd,directional_maker_fills,classic_as_net_pnl_hkd,classic_as_gross_pnl_hkd,classic_as_maker_fills,gp_style_discrete_net_pnl_hkd,gp_style_discrete_gross_pnl_hkd,gp_style_discrete_maker_fills,paired_no_signal_net_pnl_hkd,paired_no_signal_gross_pnl_hkd,paired_no_signal_maker_fills
2026-07-03,through,0.6056882704997698,0.5566546857595606,0.8172323717289416,-23664.472330739613,-9243.999694824219,4558,-361.1924193698387,5648.000152587891,1909,-31403.882213635035,-18081.998779296875,4220,-31403.882213635035,-18081.998779296875,4220
2026-07-03,touch,0.6056882704997698,0.5566546857595606,0.8172323717289416,-20933.892185479293,-5467.9993896484375,4884,254.72971199998847,7256.0,2224,-29956.14481972626,-12976.999084472656,5373,-29956.14481972626,-12976.999084472656,5373
2026-07-06,through,0.6046220034049602,0.5526296633122582,0.39704564954447596,-15558.955749999994,-4666.0,3613,-1579.07194599999,3114.0,1556,-16670.671298000016,-6970.0,3218,-16670.671298000016,-6970.0,3218
2026-07-06,touch,0.6046220034049602,0.5526296633122582,0.39704564954447596,-13658.760173999986,-1122.0,4160,-453.2821180000001,5138.0,1854,-11260.651915999975,1616.0,4272,-11260.651915999975,1616.0,4272
2026-07-07,through,0.587891742576211,0.5874044868777581,0.3499728901312662,-16599.837074908766,-1391.9996948242188,6071,9868.102723999993,15028.0,2060,-16440.549081817506,-1559.9993896484375,5938,-16440.549081817506,-1559.9993896484375,5938
2026-07-07,touch,0.587891742576211,0.5874044868777581,0.3499728901312662,-10868.883148908772,8454.000305175781,7713,11752.712681999988,18094.0,2532,-11032.768855817503,7990.0006103515625,7592,-11032.768855817503,7990.0006103515625,7592
2026-07-08,through,0.592984343670749,0.584740068575922,0.30977669304264005,-19019.907186520657,-4752.000610351559,5682,-1380.6696779999966,5050.0,2582,-19558.825414520637,-5760.0006103515625,5498,-19558.825414520637,-5760.0006103515625,5498
2026-07-08,touch,0.592984343670749,0.584740068575922,0.30977669304264005,-13924.56916052059,4149.999389648441,7200,824.2759859634953,9251.999877929688,3371,-13448.414287260359,4385.9996948242115,7109,-13448.414287260359,4385.9996948242115,7109
2026-07-09,through,0.5894925142422618,0.5945569910568269,0.3516497858540895,-21480.841084000025,-8040.0,5480,-1205.8471820000013,4682.0,2396,-22036.97575352741,-8890.000091552734,5361,-22036.97575352741,-8890.000091552734,5361
2026-07-09,touch,0.5894925142422618,0.5945569910568269,0.3516497858540895,-16562.105572000077,1488.0,7359,952.0906099999911,8866.0,3222,-17267.60716952742,205.99990844726562,7127,-17267.60716952742,205.99990844726562,7127
