model,model_label_zh,fill_mode,test_days,gross_pnl_hkd,feeable_turnover_hkd,current_all_in_fee_bps_per_side,current_net_pnl_hkd,break_even_all_in_fee_bps_per_side,break_even_all_in_fee_percent_per_side,break_even_round_trip_bps,max_brokerage_bps_per_side_after_official_fees,max_brokerage_percent_per_side_after_official_fees,profitable_at_current_fee,profitable_with_nonnegative_all_in_fee,profitable_with_official_fees_only,required_all_in_fee_reduction_bps_per_side,required_brokerage_reduction_percent,profit_condition,source
classic_as,经典 AS,through,19,43516.000335693316,229143139.9996643,2.77,-19956.649444213697,1.8990749771412343,0.01899074977141234,3.7981499542824686,0.6290749771412343,0.006290749771412343,False,True,True,0.8709250228587657,58.061668190584385,all_in_fee_bps_per_side < break_even_all_in_fee_bps_per_side,0824/output/july_2026_tolerant_as_drift_results.json
classic_as,经典 AS,touch,19,99243.9981384277,320725256.00024414,2.77,10403.102226360075,3.0943618028744253,0.030943618028744253,6.188723605748851,1.8243618028744253,0.018243618028744253,True,True,True,0.0,0.0,all_in_fee_bps_per_side < break_even_all_in_fee_bps_per_side,0824/output/july_2026_tolerant_as_drift_results.json
as_drift_unit,AS + unit drift,through,19,43076.000473022395,234865759.99986267,2.77,-21981.81504693957,1.834068979362832,0.01834068979362832,3.668137958725664,0.564068979362832,0.005640689793628319,False,True,True,0.935931020637168,62.3954013758112,all_in_fee_bps_per_side < break_even_all_in_fee_bps_per_side,0824/output/july_2026_tolerant_as_drift_results.json
as_drift_unit,AS + unit drift,touch,19,102013.99822998045,329626902.00076294,2.77,10707.34637576912,3.094832297084306,0.03094832297084306,6.189664594168612,1.8248322970843058,0.01824832297084306,True,True,True,0.0,0.0,all_in_fee_bps_per_side < break_even_all_in_fee_bps_per_side,0824/output/july_2026_tolerant_as_drift_results.json
as_drift_tuned,AS + tuned drift,through,19,39828.99996948242,242795793.0007019,2.77,-27425.434691712013,1.640432046916368,0.01640432046916368,3.280864093832736,0.370432046916368,0.00370432046916368,False,True,True,1.129567953083632,75.30453020557547,all_in_fee_bps_per_side < break_even_all_in_fee_bps_per_side,0824/output/july_2026_tolerant_as_drift_results.json
as_drift_tuned,AS + tuned drift,touch,19,100872.99925231932,332190709.0016022,2.77,8856.172858875521,3.0365990534621727,0.030365990534621728,6.0731981069243455,1.7665990534621727,0.01766599053462173,True,True,True,0.0,0.0,all_in_fee_bps_per_side < break_even_all_in_fee_bps_per_side,0824/output/july_2026_tolerant_as_drift_results.json
as_drift_kill_switch,AS + drift kill switch,through,19,39731.00010681148,239475911.0006256,2.77,-26603.827240361818,1.6590812804845196,0.016590812804845197,3.3181625609690393,0.3890812804845196,0.003890812804845196,False,True,True,1.1109187195154804,74.06124796769869,all_in_fee_bps_per_side < break_even_all_in_fee_bps_per_side,0824/output/july_2026_tolerant_as_drift_results.json
as_drift_kill_switch,AS + drift kill switch,touch,19,99124.99932861325,327726309.0015259,2.77,8344.811735190582,3.024627459132423,0.03024627459132423,6.049254918264846,1.754627459132423,0.01754627459132423,True,True,True,0.0,0.0,all_in_fee_bps_per_side < break_even_all_in_fee_bps_per_side,0824/output/july_2026_tolerant_as_drift_results.json
gp_style_discrete,GP-style,through,19,-65121.99938964849,415866890.00253296,2.77,-180317.12792035012,-1.5659337387800178,-0.01565933738780018,-3.1318674775600357,-2.835933738780018,-0.02835933738780018,False,False,False,4.335933738780017,289.06224925200115,all_in_fee_bps_per_side < break_even_all_in_fee_bps_per_side,0824/output/july_2026_tolerant_as_gp_drift_results.json
gp_style_discrete,GP-style,touch,19,31902.999450683572,576512951.0018921,2.77,-127791.08797684056,0.5533787123991056,0.005533787123991056,1.1067574247982113,-0.7166212876008944,-0.007166212876008944,False,True,False,2.216621287600894,147.77475250672626,all_in_fee_bps_per_side < break_even_all_in_fee_bps_per_side,0824/output/july_2026_tolerant_as_gp_drift_results.json
forced_drift_inventory,强制 drift + 库存,through,19,-43342.0022125244,444180558.0028229,2.77,-166380.01677930634,-0.9757744104650556,-0.009757744104650556,-1.9515488209301113,-2.2457744104650557,-0.022457744104650557,False,False,False,3.7457744104650557,249.7182940310037,all_in_fee_bps_per_side < break_even_all_in_fee_bps_per_side,0824/output/july_2026_tolerant_as_gp_drift_results.json
forced_drift_inventory,强制 drift + 库存,touch,19,57771.99746704097,588966616.0036316,2.77,-105371.75516596499,0.9809044502224341,0.009809044502224341,1.9618089004448682,-0.2890955497775659,-0.002890955497775659,False,True,False,1.7890955497775658,119.27303665183773,all_in_fee_bps_per_side < break_even_all_in_fee_bps_per_side,0824/output/july_2026_tolerant_as_gp_drift_results.json
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,through,19,-50253.99993896486,421099269.99993896,2.77,-166898.49772894796,-1.1934003100734927,-0.011934003100734926,-2.3868006201469854,-2.4634003100734927,-0.024634003100734925,False,False,False,3.9634003100734927,264.22668733823286,all_in_fee_bps_per_side < break_even_all_in_fee_bps_per_side,0824/output/july_2026_tolerant_directional_kill_switch_results.json
original_drift_inventory_kill_switch,原始 drift + 库存 + kill switch,touch,19,44398.00088500975,556962401.999115,2.77,-109880.58446874512,0.7971453858582056,0.007971453858582056,1.5942907717164112,-0.4728546141417944,-0.004728546141417944,False,True,False,1.9728546141417944,131.5236409427863,all_in_fee_bps_per_side < break_even_all_in_fee_bps_per_side,0824/output/july_2026_tolerant_directional_kill_switch_results.json
