model,model_label_zh,fill_mode,all_in_fee_bps_per_side,brokerage_bps_per_side_after_official_fees,net_pnl_hkd,profitable_days,test_days
classic_as,经典 AS,through,0.0,-1.27,43516.000335693316,13,19
classic_as,经典 AS,through,1.27,0.0,14414.82155573595,10,19
classic_as,经典 AS,through,1.5,0.22999999999999998,9144.529335743668,10,19
classic_as,经典 AS,through,1.75,0.48,3415.950835752061,10,19
classic_as,经典 AS,through,1.9,0.6299999999999999,-21.196264242898906,9,19
classic_as,经典 AS,through,2.0,0.73,-2312.627664239546,8,19
classic_as,经典 AS,through,2.25,0.98,-8041.206164231153,6,19
classic_as,经典 AS,through,2.5,1.23,-13769.78466422276,6,19
classic_as,经典 AS,through,2.77,1.5,-19956.649444213697,5,19
classic_as,经典 AS,through,3.0,1.73,-25226.94166420598,5,19
classic_as,经典 AS,through,3.25,1.98,-30955.520164197587,3,19
classic_as,经典 AS,touch,0.0,-1.27,99243.9981384277,19,19
classic_as,经典 AS,touch,1.27,0.0,58511.8906263967,17,19
classic_as,经典 AS,touch,1.5,0.22999999999999998,51135.20973839109,16,19
classic_as,经典 AS,touch,1.75,0.48,43117.07833838498,16,19
classic_as,经典 AS,touch,1.9,0.6299999999999999,38306.19949838132,14,19
classic_as,经典 AS,touch,2.0,0.73,35098.946938378875,14,19
classic_as,经典 AS,touch,2.25,0.98,27080.81553837277,13,19
classic_as,经典 AS,touch,2.5,1.23,19062.684138366676,13,19
classic_as,经典 AS,touch,2.77,1.5,10403.102226360075,11,19
classic_as,经典 AS,touch,3.0,1.73,3026.42133835447,7,19
classic_as,经典 AS,touch,3.25,1.98,-4991.71006165164,4,19
as_drift_unit,AS + unit drift,through,0.0,-1.27,43076.000473022395,11,19
as_drift_unit,AS + unit drift,through,1.27,0.0,13248.048953039837,10,19
as_drift_unit,AS + unit drift,through,1.5,0.22999999999999998,7846.136473042992,9,19
as_drift_unit,AS + unit drift,through,1.75,0.48,1974.4924730464263,9,19
as_drift_unit,AS + unit drift,through,1.9,0.6299999999999999,-1548.493926951509,8,19
as_drift_unit,AS + unit drift,through,2.0,0.73,-3897.1515269501397,7,19
as_drift_unit,AS + unit drift,through,2.25,0.98,-9768.795526946706,7,19
as_drift_unit,AS + unit drift,through,2.5,1.23,-15640.439526943272,5,19
as_drift_unit,AS + unit drift,through,2.77,1.5,-21981.81504693957,5,19
as_drift_unit,AS + unit drift,through,3.0,1.73,-27383.72752693641,4,19
