date,fill_mode,direction_accuracy,direction_macro_f1,drift_slope_ticks,directional_net_pnl_hkd,directional_gross_pnl_hkd,directional_maker_fills,directional_trade_price_fills,directional_best_quote_fills,directional_best_ask_fills,directional_best_bid_fills,directional_trade_price_fill_share,directional_best_quote_fill_share,directional_bid_cancels,directional_ask_cancels,directional_expired_orders,classic_as_net_pnl_hkd,classic_as_gross_pnl_hkd,classic_as_maker_fills,classic_as_trade_price_fills,classic_as_best_quote_fills,classic_as_best_ask_fills,classic_as_best_bid_fills,classic_as_trade_price_fill_share,classic_as_best_quote_fill_share,classic_as_bid_cancels,classic_as_ask_cancels,classic_as_expired_orders,gp_style_discrete_net_pnl_hkd,gp_style_discrete_gross_pnl_hkd,gp_style_discrete_maker_fills,gp_style_discrete_trade_price_fills,gp_style_discrete_best_quote_fills,gp_style_discrete_best_ask_fills,gp_style_discrete_best_bid_fills,gp_style_discrete_trade_price_fill_share,gp_style_discrete_best_quote_fill_share,gp_style_discrete_bid_cancels,gp_style_discrete_ask_cancels,gp_style_discrete_expired_orders,paired_no_signal_net_pnl_hkd,paired_no_signal_gross_pnl_hkd,paired_no_signal_maker_fills,paired_no_signal_trade_price_fills,paired_no_signal_best_quote_fills,paired_no_signal_best_ask_fills,paired_no_signal_best_bid_fills,paired_no_signal_trade_price_fill_share,paired_no_signal_best_quote_fill_share,paired_no_signal_bid_cancels,paired_no_signal_ask_cancels,paired_no_signal_expired_orders
2026-07-03,through,0.6056882704997698,0.5566546857595606,0.8172323717289416,-23700.671184739615,-9241.999694824219,4570,4189,381,199,182,0.9166301969365427,0.08336980306345733,2422,2133,4555,-361.29322399999273,5580.0,1888,1844,44,27,17,0.9766949152542372,0.023305084745762712,3940,3938,7878,-31210.285733635035,-17857.998779296875,4230,4077,153,77,76,0.9638297872340426,0.036170212765957444,2411,2450,4861,-31210.285733635035,-17857.998779296875,4230,4077,153,77,76,0.9638297872340426,0.036170212765957444,2411,2450,4861
2026-07-03,touch,0.6056882704997698,0.5566546857595606,0.8172323717289416,-20973.14568947929,-5443.9993896484375,4904,4414,490,262,228,0.9000815660685155,0.0999184339314845,2257,1972,4229,758.454849999991,7702.0,2206,2144,62,39,23,0.971894832275612,0.028105167724388033,3780,3782,7562,-30090.72834372627,-13060.999084472656,5389,5169,220,119,101,0.9591760994618668,0.040823900538133236,1922,1704,3626,-30090.72834372627,-13060.999084472656,5389,5169,220,119,101,0.9591760994618668,0.040823900538133236,1922,1704,3626
2026-07-06,through,0.6046220034049602,0.5526296633122582,0.39704564954447596,-15685.694358000006,-4630.0,3667,3205,462,240,222,0.8740114535042269,0.12598854649577312,2204,1837,4041,-1781.9249959999906,3008.0,1588,1427,161,76,85,0.8986146095717884,0.10138539042821158,3554,3554,7108,-16087.143474000015,-6170.0,3290,2925,365,178,187,0.8890577507598785,0.11094224924012158,2128,2266,4394,-16087.143474000015,-6170.0,3290,2925,365,178,187,0.8890577507598785,0.11094224924012158,2128,2266,4394
2026-07-06,touch,0.6046220034049602,0.5526296633122582,0.39704564954447596,-13349.235105999976,-614.0,4226,3589,637,319,318,0.8492664458116422,0.1507335541883578,1962,1650,3612,-498.96034200000213,5218.0,1896,1706,190,95,95,0.8997890295358649,0.10021097046413502,3400,3400,6800,-11451.708561999965,1642.0,4344,3877,467,240,227,0.8924953959484346,0.10750460405156538,1779,1647,3426,-11451.708561999965,1642.0,4344,3877,467,240,227,0.8924953959484346,0.10750460405156538,1779,1647,3426
2026-07-07,through,0.587891742576211,0.5874044868777581,0.3499728901312662,-16497.237854908766,-1259.9996948242188,6083,5879,204,114,90,0.9664639158310044,0.03353608416899556,4321,3430,7751,9790.245955999993,14960.0,2064,2012,52,37,15,0.9748062015503876,0.025193798449612403,6571,6571,13142,-16470.40452981751,-1535.9993896484375,5960,5760,200,107,93,0.9664429530201343,0.03355704697986577,4181,3474,7655,-16470.40452981751,-1535.9993896484375,5960,5760,200,107,93,0.9664429530201343,0.03355704697986577,4181,3474,7655
2026-07-07,touch,0.587891742576211,0.5874044868777581,0.3499728901312662,-10912.302746908772,8496.000305175781,7747,7455,292,170,122,0.9623079901897509,0.03769200981024913,3526,2754,6280,11600.16630399999,17956.0,2538,2458,80,57,23,0.9684791174152876,0.03152088258471237,6334,6334,12668,-10673.139477817505,8424.000610351562,7622,7360,262,140,122,0.965625819994752,0.034374180005247966,3336,2839,6175,-10673.139477817505,8424.000610351562,7622,7360,262,140,122,0.965625819994752,0.034374180005247966,3336,2839,6175
2026-07-08,through,0.592984343670749,0.584740068575922,0.30977669304264005,-19284.339616520643,-4934.000610351559,5714,5426,288,129,159,0.9495974798739937,0.0504025201260063,3926,3257,7183,-2107.5498079999907,4256.0,2556,2469,87,49,38,0.965962441314554,0.03403755868544601,5881,5881,11762,-19800.910394520637,-5880.0006103515625,5546,5276,270,126,144,0.9513162639740353,0.04868373602596466,3690,3414,7104,-19800.910394520637,-5880.0006103515625,5546,5276,270,126,144,0.9513162639740353,0.04868373602596466,3690,3414,7104
2026-07-08,touch,0.592984343670749,0.584740068575922,0.30977669304264005,-14296.350806520582,3835.999389648441,7222,6832,390,191,199,0.9459983384104126,0.05400166158958737,3255,2698,5953,-343.5285319999857,7948.000000000004,3320,3201,119,68,51,0.9641566265060241,0.03584337349397591,5499,5499,10998,-13708.468861260346,4171.9996948242115,7127,6743,384,185,199,0.9461203872597166,0.05387961274028343,3031,2778,5809,-13708.468861260346,4171.9996948242115,7127,6743,384,185,199,0.9461203872597166,0.05387961274028343,3031,2778,5809
2026-07-09,through,0.5894925142422618,0.5945569910568269,0.3516497858540895,-21717.815862000036,-8138.0,5538,5182,356,202,154,0.9357168652943301,0.06428313470566992,4903,3904,8807,-1268.742548000002,4672.0,2418,2303,115,69,46,0.9524400330851944,0.04755996691480562,6814,6814,13628,-22493.968845527408,-9246.000091552734,5403,5090,313,184,129,0.9420692208032575,0.05793077919674255,4433,4195,8628,-22493.968845527408,-9246.000091552734,5403,5090,313,184,129,0.9420692208032575,0.05793077919674255,4433,4195,8628
2026-07-09,touch,0.5894925142422618,0.5945569910568269,0.3516497858540895,-16756.95204400008,1480.0,7437,6895,542,314,228,0.927121151001748,0.07287884899825198,4000,3210,7210,903.0841439999931,8860.0,3240,3062,178,120,58,0.9450617283950618,0.05493827160493827,6403,6403,12806,-17419.094785527424,217.99990844726562,7195,6682,513,307,206,0.9287004864489229,0.07129951355107714,3572,3443,7015,-17419.094785527424,217.99990844726562,7195,6682,513,307,206,0.9287004864489229,0.07129951355107714,3572,3443,7015
