variant,gamma,fill_mode,quote_decisions,quoted_bid,quoted_ask,maker_fills,buy_fills,sell_fills,trade_price_fills,best_quote_fills,bid_cancels,ask_cancels,expired_orders,market_orders,market_order_lots,policy_market_orders,policy_market_order_lots,terminal_flatten_orders,terminal_flatten_lots,gross_pnl_hkd,all_in_fees_hkd,net_pnl_hkd,maker_turnover_hkd,market_turnover_hkd,feeable_turnover_hkd,exposure_duration_seconds,absolute_inventory_lot_seconds,squared_inventory_lot2_seconds,realized_inventory_penalty_hkd,test_days,maker_fills_per_day,mean_daily_net_pnl_hkd,daily_net_pnl_std_hkd,profitable_days,active_days,maker_fill_rate,quoted_side_share,max_abs_inventory_lots,time_mean_abs_inventory_lots,time_rms_inventory_lots,nonzero_inventory_time_share,day_close_max_drawdown_hkd,worst_intraday_drawdown_hkd,mean_full_horizon_impulse_state_share
gamma_50,50.0,through,99087,188,188,231,115,116,223,8,73,72,145,95,95,95,95,0,0,468.0000305175781,704.9417327143098,-236.9417021967316,1793151.000328064,751765.0022506714,2544916.0025787354,444309.145,11101.648,11101.648,555082.4,19,12.157894736842104,-12.470615905091135,61.75274244294102,8,18,0.6143617021276596,0.0018973225549264788,1,0.024986314427536706,0.15807059950394542,0.024986314427536706,298.7166155462647,185.80314783248903,0.9523809523809523
gamma_50,50.0,touch,99087,995,995,1324,661,663,1221,103,334,332,666,570,570,570,570,0,0,565.9751892089844,4396.920715097045,-3830.9455258880607,10987108.987617493,4886250.994682312,15873359.982299805,444309.145,16990.702,16990.702,849535.1,19,69.6842105263158,-201.6287118888453,325.87572236061106,7,19,0.6653266331658292,0.010041680543360885,1,0.03824072088365411,0.1955523481926364,0.03824072088365411,3871.7640465290065,1278.2743172683709,0.9523809523809523
gamma_25,25.0,through,99087,188,188,231,115,116,223,8,73,72,145,95,95,95,95,0,0,468.0000305175781,704.9417327143098,-236.9417021967316,1793151.000328064,751765.0022506714,2544916.0025787354,444309.145,11101.648,11101.648,277541.2,19,12.157894736842104,-12.470615905091135,61.75274244294102,8,18,0.6143617021276596,0.0018973225549264788,1,0.024986314427536706,0.15807059950394542,0.024986314427536706,298.7166155462647,185.80314783248903,0.9523809523809523
gamma_25,25.0,touch,99087,995,995,1324,661,663,1221,103,334,332,666,570,570,570,570,0,0,565.9751892089844,4396.920715097045,-3830.9455258880607,10987108.987617493,4886250.994682312,15873359.982299805,444309.145,16990.702,16990.702,424767.55,19,69.6842105263158,-201.6287118888453,325.87572236061106,7,19,0.6653266331658292,0.010041680543360885,1,0.03824072088365411,0.1955523481926364,0.03824072088365411,3871.7640465290065,1278.2743172683709,0.9523809523809523
gamma_12.5,12.5,through,99087,188,188,231,115,116,223,8,73,72,145,95,95,95,95,0,0,468.0000305175781,704.9417327143098,-236.9417021967316,1793151.000328064,751765.0022506714,2544916.0025787354,444309.145,11101.648,11101.648,138770.6,19,12.157894736842104,-12.470615905091135,61.75274244294102,8,18,0.6143617021276596,0.0018973225549264788,1,0.024986314427536706,0.15807059950394542,0.024986314427536706,298.7166155462647,185.80314783248903,0.9523809523809523
gamma_12.5,12.5,touch,99087,995,995,1324,661,663,1221,103,334,332,666,570,570,570,570,0,0,565.9751892089844,4396.920715097045,-3830.9455258880607,10987108.987617493,4886250.994682312,15873359.982299805,444309.145,16990.702,16990.702,212383.775,19,69.6842105263158,-201.6287118888453,325.87572236061106,7,19,0.6653266331658292,0.010041680543360885,1,0.03824072088365411,0.1955523481926364,0.03824072088365411,3871.7640465290065,1278.2743172683709,0.9523809523809523
gamma_6.25,6.25,through,99087,188,188,231,115,116,223,8,73,72,145,95,95,95,95,0,0,468.0000305175781,704.9417327143098,-236.9417021967316,1793151.000328064,751765.0022506714,2544916.0025787354,444309.145,11101.648,11101.648,69385.3,19,12.157894736842104,-12.470615905091135,61.75274244294102,8,18,0.6143617021276596,0.0018973225549264788,1,0.024986314427536706,0.15807059950394542,0.024986314427536706,298.7166155462647,185.80314783248903,0.9523809523809523
gamma_6.25,6.25,touch,99087,995,995,1324,661,663,1221,103,334,332,666,570,570,570,570,0,0,565.9751892089844,4396.920715097045,-3830.9455258880607,10987108.987617493,4886250.994682312,15873359.982299805,444309.145,16990.702,16990.702,106191.8875,19,69.6842105263158,-201.6287118888453,325.87572236061106,7,19,0.6653266331658292,0.010041680543360885,1,0.03824072088365411,0.1955523481926364,0.03824072088365411,3871.7640465290065,1278.2743172683709,0.9523809523809523
gamma_5,5.0,through,99087,188,188,231,115,116,223,8,73,72,145,95,95,95,95,0,0,468.0000305175781,704.9417327143098,-236.9417021967316,1793151.000328064,751765.0022506714,2544916.0025787354,444309.145,11101.648,11101.648,55508.24,19,12.157894736842104,-12.470615905091135,61.75274244294102,8,18,0.6143617021276596,0.0018973225549264788,1,0.024986314427536706,0.15807059950394542,0.024986314427536706,298.7166155462647,185.80314783248903,0.9511278195488722
gamma_5,5.0,touch,99087,995,995,1324,661,663,1221,103,334,332,666,570,570,570,570,0,0,565.9751892089844,4396.920715097045,-3830.9455258880607,10987108.987617493,4886250.994682312,15873359.982299805,444309.145,16990.702,16990.702,84953.51,19,69.6842105263158,-201.6287118888453,325.87572236061106,7,19,0.6653266331658292,0.010041680543360885,1,0.03824072088365411,0.1955523481926364,0.03824072088365411,3871.7640465290065,1278.2743172683709,0.9523809523809523
